id	nome_arquivo	areas_do_direito	subareas_do_direito	resumo	primeiras_20_linhas
1	().txt	Direito Civil, Direito Administrativo	Direito Civil > Locação de Imóveis; Direito Administrativo > Licitações e Contratos Administrativos	A petição é uma contestação de ação de despejo baseada em contrato de locação por tempo determinado. O contestante argumenta que o contrato prorrogou-se automaticamente pela não oposição do proprietário ao fim do primeiro período, além de ter formado um fundo de comércio no local, dando-lhe direito à indenização pelo despejo.	[PASTA]: /home/sidarta/Downloads/pets/pet_todas/. Direito Civil/.. Petições  ﻿Contestação em ação de despejo fundada em contrato de locação por tempo determinado no sentido de o mesmo estar prorrogado, por o locador não opor-se a continuidade do contrato de locação.  EXMO. SR. DR. JUIZ DE DIREITO DA ....ª VARA CÍVEL DA COMARCA DE ....          ..................................................., já qualificado nos autos da Ação de Despejo sob nº ...., por seu advogado ao final assinado (procuração anexa), com escritório na Rua .... nº ...., onde recebe intimações e notificações, vem respeitosamente perante Vossa Excelência apresentar  CONTESTAÇÃO  aos termos da Ação de Despejo que lhe move ...., igualmente qualificado, pelos fatos que passa a expor:
2	()_1.txt	Direito Processual Civil, Direito Constitucional	Direito Processual Civil > Contratos e Obligações; Direito Constitucional > Recursos Extraordinários	Esta petição trata de um recurso especial contra uma decisão de Colenda Câmara, argumentando que o contrato em questão foi válido e não houve simulação, além da admissibilidade deste recurso em virtude da nova redação do artigo 1.022 do Código de Processo Civil.	[PASTA]: /home/sidarta/Downloads/pets/pet_todas/. Direito Civil/.. Petições  ﻿CONTRA-RAZÕES AO RECURSO ESPECIAL O requerido apresenta contra-razões, alegando restar provado que o contrato entre as partes foi formalizado dentro dos princípios gerais do direito obrigacional, sendo que a alegação de simulação não é passível de conhecimento, ante a regra do artigo 104 do Código Civil e o art. 192, § 3º da Constituição não é auto aplicável.  EXMO. SR. DR. JUIZ PRESIDENTE DO EGRÉGIO TRIBUNAL DE ALÇADA DO ....          ........................................................., por seu advogado, requer a juntada das inclusas CONTRA-RAZÕES AO RECURSO ESPECIAL, interposto por ....  Pede Deferimento.  ...., .... de .... de ....
3	()_10.txt	Direito Civil, Direito Imobiliário	Direito Civil > Despejo; Direito Imobiliário > Locação de Imóveis	Esta petição é uma ação de despejo em que os requerentes, como proprietários de um imóvel, pedem que o locatário do apartamento destino-se ao apartamento para ser alugado à sogra e mãe, baseada na lei nº 8.245/91.	[PASTA]: /home/sidarta/Downloads/pets/pet_todas/. Direito Civil/.. Petições  ﻿DESPEJO Os Requerentes, na qualidade de proprietários de imóveis querem destinar o menor deles para moradia de sua sogra e mãe    EXMO. SR. DR. JUIZ  DE DIREITO DA .... ª VARA  CÍVEL          Ação: DESPEJO  Requerentes: ............................. e ......................... (qualificação), com inscrição na OAB/...., sob nº.... e CRP...., respectivamente, residentes na Rua ... nº ...., na Cidade de ....
4	()_11.txt	Direito Civil, Direito Sucessórios	Direito Civil > Ação de Sondegaço; Direito Sucessórios > Herança	Esta petição trata de uma ação de sondegaço para obrigar os herdeiros a trazer à colação os bens que receberam por doação, visto que essa doação importou adiantamento da legitima.	[PASTA]: /home/sidarta/Downloads/pets/pet_todas/. Direito Civil/.. Petições  ﻿Herdeiros recusam-se em trazer à colação os bens recebidos por doação de seus avós. A doação consiste em adiantamento da legítima. Pedido para que se iguale a legítima, após trazerem à colação, os bens doados.  EXMO. SR. DR. JUIZ DE DIREITO DA .... ª VARA CÍVEL DA COMARCA DA CAPITAL         ........................... e seu marido .............................. (qualificações), ela portadora do Cédula de Identidade/RG nº .... e CPF/MF nº ...., residentes e domiciliados, na Rua .... nº...., Bairro ....; ...., .... e .... (qualificações), portadores das Cédulas de Identidades/RG sob os nºs ...., .... e .... e dos CPFs nº ...., .... e ...., respectivamente, domiciliados e residentes na Rua .... nº ...., Bairro ...., por seu advogado adiante nesta assinado, "ut" inclusos instrumentos particulares de mandato (docs.  nºs ...., .... e ....), com escritório profissional nesta cidade, na Rua .... nº ........, onde recebe intimações e notificações, vem, mui respeitosamente perante Vossa Excelência, com fundamento nos artigos 282 e seguintes do Código Civil Brasileiro promover a presente   AÇÃO DE SONEGADOS PELO RITO ORDINÁRIO  contra ........................ e sua mulher .................. (qualificações), ele portador da Cédula de Identidade/RG nº ...., e ela portadora da Cédula de Identidade/RG nº ...., residentes e domiciliados na Rua .... nº ...., pelos motivos de fato e de direito que adiante passam a aduzir:
5	()_12.txt	Direito Civil, Direito Ambiental	Direito Civil > Propriedade Imobiliária; Direito Civil > Reintegração de Posses; Direito Civil > Liminar; Direito Ambiental > Crimes Ambientais; Direito Ambiental > Licenciamento Ambiental	Esta petição trata da reintegração de posse de uma gleba de terra e alega que o réu, sem autorização ou pagamento adequado, retirou o documento de propriedade imobiliária dos autores.	[PASTA]: /home/sidarta/Downloads/pets/pet_todas/. Direito Civil/.. Petições  ﻿Os Autores pretendem ser reintegrados na posse de glebas de terra, da qual foram esbulhados pelo Réu, posto que jamais venderam, referida gleba ao mesmo, como pretende o Réu, fazendo constar a transferência no Registro de Imóveis. O esbulho data de menos de ano e dia, permitindo a concessão de liminar aos autores. Os Autores cumulam o pedido com indenização pelo ato ilícito praticado e cominação de pena pecuniária, em caso de novo esbulho.  EXMO. SR. DR. JUIZ DE DIREITO DA  .... ª VARA CÍVEL DA COMARCA DE .... DO ESTADO DE ....         ............................................... (qualificação), filho de .... e ...., natural de ...., nascido aos ...., inscrito no CPF/MF nº ...., portador da CTPS nº ...., residente e domiciliado na Cidade de ...., na Rua .... nº ...., .... (qualificação), Cédula de Identidade/RG nº .... e seu marido ...., (qualificação), Cédula de Identidade/RG ...., inscritos no CPF/MF ...., residentes e domiciliados na Cidade de ...., na Rua .... nº ...., .... (qualificação), e seu marido ....................... (qualificação), residentes e domiciliados no Município de ...., no Bairro ....; .... (qualificação), Cédula de Identidade/RG nº ...., e seu marido .... (qualificação), Cédula de Identidade/RG nº ...., inscritos no CPF/MF ...., residentes e domiciliados na Cidade de ...., na Rua .... nº ...., por seu procurador ao final assinado (docs. anexos), vêm, muito respeitosamente, a presença de Vossa Excelência para proporem a presente   AÇÃO DE REINTEGRAÇÃO DE POSSE,  ........................................ (qualificação), residente no ...., Município de ...., tendo em vista os fatos, fundamentos jurídicos, pedido de provas que se seguem:
6	()_13.txt	Direito Administrativo, Direito Civil	Direito Civil > Contratos; Direito Civil > Jurisdição Civil e Processual	Esta petição trata de uma ação ordinária de restituição de mútuo contra dois mutuários residentes no exterior pelo valor emprestado em moeda estrangeira. O mutuante alega inadimplência e apresenta que o contrato foi formalmente assinado e o prazo de pagamento decorreu, sem que nenhum pagamento tenha sido feito.	[PASTA]: /home/sidarta/Downloads/pets/pet_todas/. Direito Civil/.. Petições  ﻿Réus residentes no exterior. Contrato em moeda estrangeira. Interpelação judicial para constituir os devedores em mora. Inadimplência dos devedores. Contrato de mútuo feneratício.  EXMO. SR. DR. JUIZ DE DIREITO DA .... ª VARA CÍVEL DA COMARCA DE ....          ............................................................., (qualificação), neste ato representado pelos seus sócios gerentes, ................, (qualificação) e ................................., (qualificação), por intermédio de seu advogado e procurador ...., inscrito na OAB/.... sob o nº ...., com escritório profissional na Rua .... nº  ...., onde recebe intimações e notificações, vem, com o devido acatamento e respeito, à presença de Vossa Excelência, com fulcro no disposto no artigo 282 e seguintes do Código de Processo Civil Brasileiro, propor a presente   AÇÃO ORDINÁRIA DE RESTITUIÇÃO DE MÚTUO  contra ....................................................., (qualificação), residente e domiciliado na Rua ...., na Cidade de ...., Estado do ...., e ...., (qualificação), residente e domiciliado na Rua ...., Cidade de ...., Estado . ...., pelos fatos e fundamentos a seguir aduzidos:
7	()_14.txt	Direito Família, Direito Processual Civil	Direito Família > Divórcio e Separação Consensual; Direito Processual Civil > Justiça Gratuita	Esta petição trata de uma solicitação para a conversão de uma separação consensual em divórcio, com a requisição da justiça gratuita e da distribuição por dependência do caso.	[PASTA]: /home/sidarta/Downloads/pets/pet_todas/. Direito Civil/.. Petições  ﻿Conversão da separação em divórcio. Há consentimento entre as partes, sendo assim consensual. Todas as obrigações assumidas na separação foram cumpridas, não falando-se em inadimplemento daquelas. Há que se fazer distribuição por dependência.  EXMO. SR. DR. JUIZ DE DIREITO DA .... ª VARA DE FAMÍLIA DA COMARCA DE ....         Distribuição por Dependência apenso aos autos nº. ....  ................................................ (qualificação), portadora da Carteira de Identidade/RG nº ...., residente e domiciliada na Rua .... nº ...., Bairro ...., e .............................. (qualificação), portador da Carteira de Identidade/RG nº ...., residente e domiciliado na Rua .... nº ...., Bairro ...., por intermédio de sua procuradora, com instrumento de mandato em anexo (doc. ....), Advogado, na Rua .... nº ...., Bairro ...., onde recebe intimações e notificações, vem mui respeitosamente à presença de Vossa Excelência, com respaldo no artigo 226, parágrafo 6º da Constituição Federal, Lei nº 6.515/77 e demais dispositivos legais pertinentes, formular o presente pedido de    CONVERSÃO CONSENSUAL DE SEPARAÇÃO EM DIVÓRCIO
8	()_15.txt	Direito Civil, Direito Tributário	Direito Civil > Alimentos e Custódia de Menores; Direito Tributário > Impostos Sobre a Renda	Esta petição trata sobre uma solicitação de alimentos para uma filha menor resultado de um concubinato, devido ao falecimento do ex-cônjuge e insuficiência financeira da mãe.	[PASTA]: /home/sidarta/Downloads/pets/pet_todas/. Direito Civil/.. Petições  ﻿ALIMENTOS -De concubinato resultou filho menor, reconhecido e registrado pelo pai. Separados. Falta de meios para subsistência. Alimentos provisionais.  EXMO. SR. DR. JUIZ DE DIREITO DA .... ª VARA DE FAMÍLIA DE...          ............................................ (qualificação), neste ato representada por sua genitora, ...., RG nº ...., CPF nº ...., (qualificação), residente e domiciliada na Rua .... nº ...., . na cidade de ...., . por seu advogado infra-assinado, procuração anexa, inscrito na OAB/...., com escritório na Rua .... nº ...., CEP ...., vêm mui respeitosamente à presença de  V. Exa, requerer:    ALIMENTOS  com fulcro na Lei 5478/68, contra ...................... (qualificação), com endereço na Rua .... nº ..... cidade de ..... CEP ...., pelos motivos que passa a expor requerendo ao final:
9	()_2.txt	Direito Civil, Direito Administrativo	Direito Civil > Execução Extra-Judicial; Direito Administrativo > Medidas Cautelares	Esta petição trata de uma execução extra-judicial contra uma pessoa física devido a duplicatas descontadas, não pagas pelos devedores. O valor da dívida é pedido ao ré, que foi esgotada todas as tentativas para composição do débito. A medida cautelar já estava em andamento anteriormente.	[PASTA]: /home/sidarta/Downloads/pets/pet_todas/. Direito Civil/.. Petições  ﻿EXECUÇÃO DE TÍTULO EXTRAJUDICIAL -O exequente é credor da executada através de Carta de Fiança cujo crédito decorre títulos de crédito correspondentes a duplicatas descontadas e não pagas pelos devedores. As duplicatas foram enviadas aos mesmos para aceite, porém não foram devolvidas. Vencidas não foram quitadas.  EXMO. SR. DR. JUIZ DE DIREITO DA ....ª  VARA CÍVEL DA COMARCA DE ....          Por dependência Autos n° .... - Medida Cautelar  .............................................., sociedade de economia mista, com sede em ...., por sua Agência ...., na Cidade de ......., inscrita no CGC/MF sob n° ...., por seu advogado adiante assinado, escritório profissional no endereço impresso abaixo, vem à presença de Vossa Excelência propor  EXECUÇÃO DE TÍTULO EXTRAJUDICIAL
10	()_3.txt	Direito Civil, Direito Processual	Direito Civil > Divórcio; Direito Processual > Ações judiciais	Esta petição trata de um pedido de divórcio por separação de fato, devido à abandonamento do lar pelo cônjuge varão e a bebedice diária da requerida. A requerida foi localizada em lugar incerto após a separação.	[PASTA]: /home/sidarta/Downloads/pets/pet_todas/. Direito Civil/.. Petições  ﻿Divórcio direto litigioso em razão de estar separada de fato por o cônjuge varão ter abandonado o lar. Inexistência de prole. Existência de bens a partilhar.  EXMO. SR. DR. JUIZ DE DIREITO DA .... ª VARA DE FAMÍLIA DA COMARCA DE ....         ....................................................... (qualificação), portador da Cédula de Identidade/RG nº ....,  residente e domiciliado na Rua .... nº ...., na Cidade de ...., vem, mui respeitosamente à presença de Vossa Excelência, através de seu procurador adiante assinado com fundamento no art. 40 da Lei 6.515 de 26 de dezembro de 1977, propor a presente  AÇÃO DE DIVÓRCIO  contra ........................................., (qualificação), atualmente em lugar incerto e não sabido, pelos motivos que passa a expor:  I- Em data de ................, o Requerente casou-se com a Requerida no Município de ...., sob o regime de comunhão universal de bens, conforme verifica-se da Certidão de Casamento em anexo.
